"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 23 19:01:22 GMT 2022","Thu Jun 23 19:01:22 GMT 2022","141","","TestUserRegister","","TestUserRegister","userRegistrationWithoutFullNameTest","userRegistrationWithoutFullNameTest()","Register a new user without full name"
"broken","Thu Jun 23 19:01:21 GMT 2022","Thu Jun 23 19:01:21 GMT 2022","180","","TestAddNewBlogEntry","","TestAddNewBlogEntry","createBlogEntryTest","createBlogEntryTest()","Login and create a new blog entry"
"broken","Thu Jun 23 19:01:23 GMT 2022","Thu Jun 23 19:01:23 GMT 2022","132","","TestFU14TeamPage","","TestFU14TeamPage","saveToFileTest","saveToFileTest()","Save FU14 team data to txt"
"broken","Thu Jun 23 19:01:21 GMT 2022","Thu Jun 23 19:01:21 GMT 2022","142","","TestUserRegister","","TestUserRegister","resetUserDataTest","resetUserDataTest()","Reset all the entered data from the fields"
"broken","Thu Jun 23 19:01:22 GMT 2022","Thu Jun 23 19:01:22 GMT 2022","146","","TestFrontPage","","TestFrontPage","numberOfBlogEntries","numberOfBlogEntries()","Check the number of the latest blog entries"
"broken","Thu Jun 23 19:01:23 GMT 2022","Thu Jun 23 19:01:23 GMT 2022","132","","TestUserLogin","","TestUserLogin","navigateToLoginPageTest","navigateToLoginPageTest()","Navigate to user login page"
"broken","Thu Jun 23 19:01:22 GMT 2022","Thu Jun 23 19:01:22 GMT 2022","136","","TestFrontPage","","TestFrontPage","findLogo","findLogo()","Find the logo on the main page"
"broken","Thu Jun 23 19:01:22 GMT 2022","Thu Jun 23 19:01:22 GMT 2022","138","","TestFrontPage","","TestFrontPage","isAllImagePresent","isAllImagePresent()","Check all the team photos are present in the carousel"
"broken","Thu Jun 23 19:01:21 GMT 2022","Thu Jun 23 19:01:22 GMT 2022","149","","TestUserRegister","","TestUserRegister","userRegistrationFromFileTest","userRegistrationFromFileTest()","Register a new users from file"
"broken","Thu Jun 23 19:01:22 GMT 2022","Thu Jun 23 19:01:23 GMT 2022","142","","TestUserLogin","","TestUserLogin","loginTest","loginTest()","Test user login without remember me function"
"broken","Thu Jun 23 19:01:22 GMT 2022","Thu Jun 23 19:01:22 GMT 2022","132","","TestFrontPage","","TestFrontPage","allowCookies","allowCookies()","Allow cookies"
"broken","Thu Jun 23 19:01:23 GMT 2022","Thu Jun 23 19:01:23 GMT 2022","140","","TestUserLogin","","TestUserLogin","loginRememberTest","loginRememberTest()","User login to site with remember me function"
"broken","Thu Jun 23 19:01:23 GMT 2022","Thu Jun 23 19:01:23 GMT 2022","144","","TestFU14TeamPage","","TestFU14TeamPage","numberOfTeamMembersTest","numberOfTeamMembersTest()","Test FU14 team members number"
"broken","Thu Jun 23 19:01:21 GMT 2022","Thu Jun 23 19:01:21 GMT 2022","137","","TestUserRegister","","TestUserRegister","openRegisterPageTest","openRegisterPageTest()","Navigate to the registration page"
"skipped","Thu Jun 23 19:01:22 GMT 2022","Thu Jun 23 19:01:22 GMT 2022","0","","TestFrontPage","","TestFrontPage","checkTitles","checkTitles()","Check the titles of the blog entries"
"broken","Thu Jun 23 19:01:23 GMT 2022","Thu Jun 23 19:01:23 GMT 2022","133","","TestFU14TeamPage","","TestFU14TeamPage","teamMembersTest","teamMembersTest()","Test FU14 team members"
"broken","Thu Jun 23 19:01:23 GMT 2022","Thu Jun 23 19:01:23 GMT 2022","141","","TestFU14TeamPage","","TestFU14TeamPage","fu14AboutTeamTest","fu14AboutTeamTest()","Test FU14 team about us text"
"broken","Thu Jun 23 19:01:22 GMT 2022","Thu Jun 23 19:01:22 GMT 2022","134","","TestFrontPage","","TestFrontPage","checkSiteURL","checkSiteURL()","Check the url of the front page"
"broken","Thu Jun 23 19:01:21 GMT 2022","Thu Jun 23 19:01:21 GMT 2022","190","","TestUserRegister","","TestUserRegister","userRegistrationTest","userRegistrationTest()","Register a new user"
"broken","Thu Jun 23 19:01:20 GMT 2022","Thu Jun 23 19:01:21 GMT 2022","721","","TestAddNewBlogEntry","","TestAddNewBlogEntry","loginAsEditorTest","loginAsEditorTest()","User login as editor"
