"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Regression tests","Test the user registration","Register a new user","0","1","0","0","0"
"Regression tests","Test the user login","User login to site with remember me function","0","0","1","0","0"
"Regression tests","Test the user registration","Navigate to the registration page","0","0","1","0","0"
"Regression tests","Test the front page of the site","Check the url of the front page","0","0","1","0","0"
"Regression tests","Test the front page of the site","Check the titles of the blog entries","0","1","0","0","0"
"Regression tests","Test the user registration","Reset all the entered data from the fields","0","0","1","0","0"
"Regression tests","Test add new blog entry","User login as editor","0","0","1","0","0"
"Regression tests","Test the front page of the site","Check all the team photos are present in the carousel","1","0","0","0","0"
"Regression tests","Test add new blog entry","Login and create a new blog entry","0","0","1","0","0"
"Regression tests","Test edit blog entry","Delete the blog entry","0","0","1","0","0"
"Regression tests","Test edit blog entry","Log out editor user","0","0","1","0","0"
"Regression tests","Test the front page of the site","Find the logo on the main page","0","0","1","0","0"
"Regression tests","Test team page","Test FU14 team members","0","0","1","0","0"
"Regression tests","Test the user registration","Register a new users from file","0","0","1","0","0"
"Regression tests","Test the blog entries","Check the number of the blog entries","1","0","0","0","0"
"Regression tests","Test the user login","Test user login without remember me function","0","0","1","0","0"
"Regression tests","Test the user login","Navigate to user login page","0","0","1","0","0"
"Regression tests","Test team page","Test FU14 team about us text","0","0","1","0","0"
"Regression tests","Test the user registration","Register a new user without full name","0","0","1","0","0"
"Regression tests","Test the front page of the site","Check the number of the latest blog entries","0","0","1","0","0"
"Regression tests","Test the blog entries","Check the titles of the blog entries","1","0","0","0","0"
"Regression tests","Test team page","Test FU14 team members number","0","0","1","0","0"
"Regression tests","Test edit blog entry","Change the title","0","1","0","0","0"
"Regression tests","Test edit blog entry","Save the title and the date of the blog entry","0","0","1","0","0"
"Regression tests","Test the front page of the site","Check the read more button","0","0","0","1","0"
"Regression tests","Test the front page of the site","Allow cookies","0","0","1","0","0"
"","","","0","0","1","0","0"
